ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimeintoID,TIEMPO_RESOLUCION
1,Desgaste,2024-06-04T00:00:00Z,Cerrada,877-15-7376,13905,223
1,Desgaste,2024-06-04T00:00:00Z,Cerrada,467-34-2729,13905,223
2,Desgaste,2023-10-18T00:00:00Z,Abierta,592-42-6016,687,343
2,Desgaste,2023-10-18T00:00:00Z,Abierta,339-07-9203,687,343
3,Rotura,2024-07-27T00:00:00Z,Cerrada,012-65-0978,376,138
3,Rotura,2024-07-27T00:00:00Z,Cerrada,976-02-8152,376,138
4,Vandalismo,2023-12-25T00:00:00Z,Cerrada,588-11-9551,2131,243
4,Vandalismo,2023-12-25T00:00:00Z,Cerrada,532-78-5662,2131,243
4,Vandalismo,2023-12-25T00:00:00Z,Cerrada,166-45-6290,2131,243
5,Mal_funcionamiento,2024-01-14T00:00:00Z,Cerrada,004-60-5880,5277,266
5,Mal_funcionamiento,2024-01-14T00:00:00Z,Cerrada,004-60-5880,8362,266
5,Mal_funcionamiento,2024-01-14T00:00:00Z,Cerrada,563-73-1437,5277,266
5,Mal_funcionamiento,2024-01-14T00:00:00Z,Cerrada,563-73-1437,8362,266
6,Mal_funcionamiento,2024-06-16T00:00:00Z,Cerrada,243-58-3707,817,214
7,Mal_funcionamiento,2023-11-29T00:00:00Z,Abierta,568-97-1438,13919,100
7,Mal_funcionamiento,2023-11-29T00:00:00Z,Abierta,060-60-3082,13919,100
8,Desgaste,2024-07-11T00:00:00Z,Abierta,796-05-5365,12758,269
8,Desgaste,2024-07-11T00:00:00Z,Abierta,885-57-6046,12758,269
9,Mal_funcionamiento,2024-03-30T00:00:00Z,Cerrada,845-09-0809,1303,209
9,Mal_funcionamiento,2024-03-30T00:00:00Z,Cerrada,326-82-2881,1303,209
10,Rotura,2024-08-14T00:00:00Z,Cerrada,593-69-8841,5048,207
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,090-00-7405,7427,325
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,090-00-7405,14453,325
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,071-19-1066,7427,325
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,071-19-1066,14453,325
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,229-65-4862,7427,325
11,Vandalismo,2024-10-10T00:00:00Z,Cerrada,229-65-4862,14453,325
12,Desgaste,2023-12-17T00:00:00Z,Cerrada,176-13-0825,10750,335
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,766-49-4521,3278,230
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,766-49-4521,11201,230
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,178-54-7373,3278,230
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,178-54-7373,11201,230
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,885-67-2471,3278,230
13,Mal_funcionamiento,2024-07-20T00:00:00Z,Cerrada,885-67-2471,11201,230
14,Desgaste,2024-09-27T00:00:00Z,Cerrada,597-15-0862,14451,257
15,Desgaste,2023-10-25T00:00:00Z,Cerrada,362-42-8620,4397,240
15,Desgaste,2023-10-25T00:00:00Z,Cerrada,362-42-8620,4960,240
15,Desgaste,2023-10-25T00:00:00Z,Cerrada,718-53-6721,4397,240
15,Desgaste,2023-10-25T00:00:00Z,Cerrada,718-53-6721,4960,240
16,Desgaste,2024-01-20T00:00:00Z,Abierta,199-84-4323,498,137
17,Vandalismo,2024-07-09T00:00:00Z,Abierta,095-45-4865,10246,222
17,Vandalismo,2024-07-09T00:00:00Z,Abierta,707-18-9915,10246,222
17,Vandalismo,2024-07-09T00:00:00Z,Abierta,799-14-3002,10246,222
18,Mal_funcionamiento,2024-02-06T00:00:00Z,Cerrada,813-75-9847,11472,297
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,474-19-4063,1733,97
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,474-19-4063,11172,97
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,458-07-3973,1733,97
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,458-07-3973,11172,97
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,990-13-7252,1733,97
19,Desgaste,2024-02-11T00:00:00Z,Cerrada,990-13-7252,11172,97
20,Vandalismo,2024-05-01T00:00:00Z,Cerrada,629-15-3222,10095,291
21,Mal_funcionamiento,2023-10-21T00:00:00Z,Abierta,282-52-9975,9042,2
21,Mal_funcionamiento,2023-10-21T00:00:00Z,Abierta,384-61-9704,9042,2
22,Mal_funcionamiento,2024-06-10T00:00:00Z,Cerrada,096-22-0670,11353,345
23,Rotura,2024-01-27T00:00:00Z,Abierta,604-91-2343,9042,320
23,Rotura,2024-01-27T00:00:00Z,Abierta,406-56-3619,9042,320
23,Rotura,2024-01-27T00:00:00Z,Abierta,307-27-1424,9042,320
24,Mal_funcionamiento,2024-09-28T00:00:00Z,Abierta,948-96-6590,3568,298
24,Mal_funcionamiento,2024-09-28T00:00:00Z,Abierta,948-96-6590,9550,298
25,Mal_funcionamiento,2023-12-24T00:00:00Z,Abierta,566-61-3591,3597,330
26,Desgaste,2024-08-05T00:00:00Z,Cerrada,500-90-6672,821,305
26,Desgaste,2024-08-05T00:00:00Z,Cerrada,245-63-5707,821,305
26,Desgaste,2024-08-05T00:00:00Z,Cerrada,317-56-5131,821,305
27,Desgaste,2024-10-01T00:00:00Z,Cerrada,112-42-8189,6922,221
27,Desgaste,2024-10-01T00:00:00Z,Cerrada,370-99-8984,6922,221
27,Desgaste,2024-10-01T00:00:00Z,Cerrada,367-10-4674,6922,221
28,Mal_funcionamiento,2023-10-28T00:00:00Z,Abierta,249-99-1099,6286,227
28,Mal_funcionamiento,2023-10-28T00:00:00Z,Abierta,404-10-1370,6286,227
